Name_ID,Gender,Breed,Age,Animal Type,Weight,Brought to Shelter,Kennel Location,Scrape Date,age_numeric,Weight_num,Name,ID,location_simple,kennel_name,kennel_num,side,Days_at_shelter,result
SLINKY (A1236896),Female,Pit Bull Terrier,"2 years, 1 month old",Dog,32 pounds,2024-12-08,FOSTER,2024-12-30,2.0,32.0,SLINKY,1236896,Foster,FOSTER,,,22,Looking for Furever Home
DALLAS (A1233512),Male,American Staffordshire Terrier,4 years old,Dog,41 pounds,2024-12-07,ADOPT 03R,2024-12-30,4.0,41.0,DALLAS,1233512,Byrum,ADOPT ,03,R,23,Looking for Furever Home
FLETCH (A1236035),Male,Labrador Retriever,"2 years, 1 month old",Dog,90 pounds,2024-12-06,FOSTER,2024-12-30,2.0,90.0,FLETCH,1236035,Foster,FOSTER,,,24,Looking for Furever Home
BRUNO (A1232009),Male,American Bulldog,3 years old,Dog,55 pounds,2024-12-06,FOSTER,2024-12-30,3.0,55.0,BRUNO,1232009,Foster,FOSTER,,,24,Looking for Furever Home
SHADOW (A1196168),Male,Pit Bull Terrier,4 years old,Dog,55 pounds,2024-12-06,ADOPT 23L,2024-12-30,4.0,55.0,SHADOW,1196168,Byrum,ADOPT ,23,L,24,Looking for Furever Home
ROLLO (A1231872),Male,Labrador Retriever mix,10 months old,Dog,30 pounds,2024-12-05,FOSTER,2024-12-30,0.8333333333333334,30.0,ROLLO,1231872,Foster,FOSTER,,,25,Looking for Furever Home
HUEY (A1237025),Male,Breed information is not provided by this shelter,"1 year, 1 month old",Dog,86 pounds,2024-12-05,TOOMEYD02,2024-12-30,1.0,86.0,HUEY,1237025,Toomey,TOOMEYD,02,,25,Looking for Furever Home
CHUCHE (A1236783),Female,Pit Bull Terrier mix,4 months old,Dog,20 pounds,2024-12-05,FOSTER,2024-12-30,0.3333333333333333,20.0,CHUCHE,1236783,Foster,FOSTER,,,25,Looking for Furever Home
TOBY (A1237274),Male,Breed information is not provided by this shelter,2 years,Dog,65 pounds,2024-12-05,FOSTER,2024-12-30,2.0,65.0,TOBY,1237274,Foster,FOSTER,,,25,Looking for Furever Home
GRISWOLD (A1237238),Male,Pit Bull Terrier,4 years old,Dog,52 pounds,2024-12-04,DOGNCARE 2,2024-12-30,4.0,52.0,GRISWOLD,1237238,Byrum,DOGNCARE ,2,,26,Looking for Furever Home
SHAEMUS (A1237244),Male,Pit Bull Terrier,4 months old,Dog,30 pounds,2024-12-04,FOSTER,2024-12-30,0.3333333333333333,30.0,SHAEMUS,1237244,Foster,FOSTER,,,26,Looking for Furever Home
A1236954,Female,Pit Bull Terrier,7 months old,Dog,39 pounds,2024-12-04,FOSTER,2024-12-30,0.5833333333333334,39.0,,1236954,Foster,FOSTER,,,26,Looking for Furever Home
HAZEL (A1236066),Female,Pit Bull Terrier,3 years old,Dog,40 pounds,2024-12-04,FOSTER,2024-12-30,3.0,40.0,HAZEL,1236066,Foster,FOSTER,,,26,Looking for Furever Home
RAZZY (A1235310),Female,Pit Bull Terrier,"2 years, 2 months old",Dog,38 pounds,2024-12-04,FOSTER,2024-12-30,2.0,38.0,RAZZY,1235310,Foster,FOSTER,,,26,Looking for Furever Home
FAIRFIELD (A1234882),Male,Pit Bull Terrier,"2 years, 2 months old",Dog,55 pounds,2024-12-04,FOSTER,2024-12-30,2.0,55.0,FAIRFIELD,1234882,Foster,FOSTER,,,26,Looking for Furever Home
JACK (A1237189),Male,American Bulldog,4 years old,Dog,63 pounds,2024-12-03,DOGNCARE 1,2024-12-30,4.0,63.0,JACK,1237189,Byrum,DOGNCARE ,1,,27,Looking for Furever Home
WYATT (A1237221),Male,Pit Bull Terrier,3 years old,Dog,42 pounds,2024-12-03,FOSTER,2024-12-30,3.0,42.0,WYATT,1237221,Foster,FOSTER,,,27,Looking for Furever Home
MUSAK (A1237163),Male,Pit Bull Terrier,5 months old,Dog,35 pounds,2024-12-02,FOSTER,2024-12-30,0.4166666666666667,35.0,MUSAK,1237163,Foster,FOSTER,,,28,Looking for Furever Home
ANNIE (A1233509),Female,Pit Bull Terrier,4 years old,Dog,42 pounds,2024-12-02,FOSTER,2024-12-30,4.0,42.0,ANNIE,1233509,Foster,FOSTER,,,28,Looking for Furever Home
PUMPKIN (A1234522),Male,Labrador Retriever mix,"2 years, 2 months old",Dog,47 pounds,2024-12-01,FOSTER,2024-12-30,2.0,47.0,PUMPKIN,1234522,Foster,FOSTER,,,29,Looking for Furever Home
STAR (A5085033),Female,Labrador Retriever,11 years old,Dog,76 pounds,2024-12-01,FOSTER,2024-12-30,11.0,76.0,STAR,5085033,Foster,FOSTER,,,29,Looking for Furever Home
PEPPERMINT (A1237099),Female,Boxer mix,"1 year, 1 month old",Dog,60 pounds,2024-11-30,ADOPT 05L,2024-12-30,1.0,60.0,PEPPERMINT,1237099,Byrum,ADOPT ,05,L,30,Looking for Furever Home
MISS PRECIOUS (A1237081),Female,Labrador Retriever,8 years old,Dog,53 pounds,2024-11-29,FOSTER,2024-12-30,8.0,53.0,MISS PRECIOUS,1237081,Foster,FOSTER,,,31,Looking for Furever Home
PLUTO (A1237075),Male,Pit Bull Terrier,"2 years, 1 month old",Dog,43 pounds,2024-11-28,DOGNCARE 1,2024-12-30,2.0,43.0,PLUTO,1237075,Byrum,DOGNCARE ,1,,32,Looking for Furever Home
RUBY (A1236295),Female,Labrador Retriever,5 months old,Dog,15 pounds,2024-11-27,FOSTER,2024-12-30,0.4166666666666667,15.0,RUBY,1236295,Foster,FOSTER,,,33,Looking for Furever Home
WINNIE (A1236633),Female,Labrador Retriever,"1 year, 1 month old",Dog,42 pounds,2024-11-26,FOSTER,2024-12-30,1.0,42.0,WINNIE,1236633,Foster,FOSTER,,,34,Looking for Furever Home
RIVER (A1235713),Male,Labrador Retriever mix,1 year,Dog,55 pounds,2024-11-26,FOSTER,2024-12-30,1.0,55.0,RIVER,1235713,Foster,FOSTER,,,34,Looking for Furever Home
CECELIA (A1234156),Female,Pit Bull Terrier mix,"2 years, 3 months old",Dog,54 pounds,2024-11-26,FOSTER,2024-12-30,2.0,54.0,CECELIA,1234156,Foster,FOSTER,,,34,Looking for Furever Home
ATHENA (A1197186),Female,Pit Bull Terrier,4 years old,Dog,56 pounds,2024-11-26,DOGNCARE 1,2024-12-30,4.0,56.0,ATHENA,1197186,Byrum,DOGNCARE ,1,,34,Looking for Furever Home
PRESTON (A1219580),Male,Labrador Retriever and Pit Bull Terrier,"2 years, 1 month old",Dog,49 pounds,2024-11-26,FOSTER,2024-12-30,2.0,49.0,PRESTON,1219580,Foster,FOSTER,,,34,Looking for Furever Home
ASPEN (A1229581),Female,Pit Bull Terrier,3 years old,Dog,51 pounds,2024-11-26,FOSTER,2024-12-30,3.0,51.0,ASPEN,1229581,Foster,FOSTER,,,34,Looking for Furever Home
SCARLETT (A1236928),Female,Pit Bull Terrier,5 years old,Dog,38 pounds,2024-11-25,FOSTER,2024-12-30,5.0,38.0,SCARLETT,1236928,Foster,FOSTER,,,35,Looking for Furever Home
APACHE (A1236952),Male,Breed information is not provided by this shelter,10 months old,Dog,60 pounds,2024-11-25,ADOPT 04R,2024-12-30,0.8333333333333334,60.0,APACHE,1236952,Byrum,ADOPT ,04,R,35,Looking for Furever Home
BROOKE (A1236919),Female,Pit Bull Terrier,3 years old,Dog,42 pounds,2024-11-24,ADOPT 01R,2024-12-30,3.0,42.0,BROOKE,1236919,Byrum,ADOPT ,01,R,36,Looking for Furever Home
DOTTIE (A1234910),Female,Breed information is not provided by this shelter and Border Collie,"1 year, 2 months old",Dog,40 pounds,2024-11-24,FOSTER,2024-12-30,1.0,40.0,DOTTIE,1234910,Foster,FOSTER,,,36,Looking for Furever Home
ROSIE (A1206365),Female,Pit Bull Terrier,3 years old,Dog,51 pounds,2024-11-24,ADOPT 20R,2024-12-30,3.0,51.0,ROSIE,1206365,Byrum,ADOPT ,20,R,36,Looking for Furever Home
RILEY (A1097390),Male,Carolina Dog mix,9 years old,Dog,69 pounds,2024-11-23,ADOPT 22R,2024-12-30,9.0,69.0,RILEY,1097390,Byrum,ADOPT ,22,R,37,Looking for Furever Home
ZUMA (A1223632),Male,Beagle mix,"1 year, 1 month old",Dog,21 pounds,2024-11-22,FOSTER,2024-12-30,1.0,21.0,ZUMA,1223632,Foster,FOSTER,,,38,Looking for Furever Home
MARINETTE (A1236837),Female,Pit Bull Terrier mix,"2 years, 1 month old",Dog,28 pounds,2024-11-22,FOSTER,2024-12-30,2.0,28.0,MARINETTE,1236837,Foster,FOSTER,,,38,Looking for Furever Home
A1236851,Male,Labrador Retriever and American Staffordshire Terrier,"1 year, 1 month old",Dog,44 pounds,2024-11-22,FOSTER,2024-12-30,1.0,44.0,,1236851,Foster,FOSTER,,,38,Looking for Furever Home
CLEO (A1236861),Female,Pit Bull Terrier,"2 years, 1 month old",Dog,46 pounds,2024-11-22,FOSTER,2024-12-30,2.0,46.0,CLEO,1236861,Foster,FOSTER,,,38,Looking for Furever Home
APOLLO (A1236029),Male,Harrier mix,5 months old,Dog,47 pounds,2024-11-22,FOSTER,2024-12-30,0.4166666666666667,47.0,APOLLO,1236029,Foster,FOSTER,,,38,Looking for Furever Home
BUZZ (A1236788),Male,American Pit Bull Terrier,"2 years, 1 month old",Dog,54 pounds,2024-11-21,FOSTER,2024-12-30,2.0,54.0,BUZZ,1236788,Foster,FOSTER,,,39,Looking for Furever Home
